timestamp_s,output[0],output[1],output[2],output[3]
27.02,770.0,769.0,768.0,769.0
27.12,769.0,770.0,768.0,769.0
27.22,770.0,769.0,769.0,769.0
27.32,770.0,770.0,769.0,770.0
27.42,770.0,769.0,770.0,770.0
27.52,770.0,770.0,770.0,771.0
27.62,770.0,770.0,770.0,770.0
27.72,770.0,770.0,770.0,770.0
27.82,770.0,770.0,770.0,770.0
27.92,769.0,769.0,770.0,770.0
28.02,769.0,769.0,770.0,770.0
28.116,769.0,769.0,770.0,770.0
28.22,769.0,768.0,770.0,770.0
28.32,769.0,769.0,770.0,770.0
28.42,770.0,769.0,771.0,770.0
28.52,769.0,770.0,770.0,771.0
28.62,770.0,770.0,770.0,770.0
28.72,770.0,770.0,769.0,770.0
28.82,770.0,769.0,769.0,769.0
28.92,769.0,769.0,768.0,768.0
29.02,769.0,769.0,767.0,768.0
29.12,769.0,769.0,767.0,767.0
29.22,769.0,769.0,768.0,768.0
29.32,769.0,769.0,768.0,768.0
29.42,769.0,770.0,768.0,769.0
29.52,769.0,769.0,769.0,769.0
29.62,770.0,769.0,769.0,769.0
29.72,769.0,769.0,770.0,769.0
29.82,769.0,768.0,769.0,770.0
29.92,769.0,769.0,770.0,769.0
30.02,999.0,998.0,1000.0,999.0
30.12,999.0,999.0,1000.0,1000.0
30.22,866.0,866.0,866.0,866.0
30.32,760.0,760.0,760.0,760.0
30.42,711.0,711.0,711.0,711.0
30.52,696.0,695.0,696.0,695.0
30.62,695.0,695.0,695.0,695.0
30.72,701.0,701.0,701.0,702.0
30.82,711.0,711.0,711.0,711.0
30.92,720.0,721.0,721.0,721.0
31.02,730.0,730.0,730.0,730.0
31.12,737.0,737.0,738.0,737.0
31.22,743.0,743.0,743.0,743.0
31.32,747.0,747.0,747.0,747.0
31.42,751.0,751.0,751.0,751.0
31.52,754.0,754.0,753.0,753.0
31.62,756.0,756.0,755.0,755.0
31.72,757.0,757.0,757.0,756.0
31.82,758.0,759.0,757.0,758.0
31.92,760.0,760.0,759.0,759.0
32.02,761.0,761.0,760.0,760.0
32.12,761.0,761.0,761.0,761.0
32.22,762.0,762.0,762.0,762.0
32.32,762.0,763.0,763.0,763.0
32.42,763.0,763.0,764.0,764.0
32.52,764.0,764.0,764.0,764.0
32.62,764.0,764.0,764.0,765.0
32.72,764.0,764.0,765.0,764.0
32.82,765.0,764.0,765.0,764.0
32.92,765.0,765.0,765.0,765.0
33.02,765.0,765.0,765.0,764.0
33.12,765.0,765.0,765.0,765.0
33.22,765.0,765.0,765.0,765.0
33.32,765.0,766.0,765.0,765.0
33.42,766.0,766.0,766.0,766.0
33.52,766.0,766.0,767.0,766.0
33.62,766.0,767.0,767.0,767.0
33.72,767.0,766.0,767.0,767.0
33.82,767.0,767.0,768.0,768.0
33.92,767.0,767.0,767.0,768.0
34.02,767.0,768.0,767.0,768.0
34.116,768.0,768.0,767.0,767.0
34.22,768.0,768.0,767.0,768.0
34.32,768.0,767.0,767.0,767.0
34.42,767.0,768.0,767.0,767.0
34.52,768.0,768.0,768.0,767.0
34.62,768.0,768.0,768.0,768.0
34.72,769.0,767.0,769.0,768.0
34.82,456.0,456.0,457.0,456.0
34.92,587.0,587.0,588.0,588.0
35.012,674.0,673.0,674.0,674.0
35.12,727.0,726.0,727.0,727.0
35.22,770.0,770.0,770.0,770.0
35.32,810.0,810.0,811.0,811.0
35.42,826.0,827.0,827.0,827.0
35.52,829.0,829.0,829.0,829.0
35.62,824.0,825.0,824.0,824.0
35.72,818.0,818.0,817.0,817.0
35.82,810.0,810.0,809.0,809.0
35.92,804.0,804.0,803.0,803.0
36.02,798.0,799.0,797.0,797.0
36.12,794.0,794.0,793.0,793.0
36.22,790.0,790.0,789.0,790.0
36.32,787.0,788.0,787.0,787.0
36.42,785.0,785.0,785.0,785.0
36.52,783.0,784.0,783.0,784.0
36.62,782.0,782.0,782.0,783.0
36.72,781.0,781.0,781.0,782.0
36.82,780.0,780.0,780.0,781.0
36.92,778.0,779.0,779.0,779.0
37.02,777.0,777.0,777.0,778.0
37.12,776.0,777.0,777.0,777.0
37.22,775.0,775.0,776.0,776.0
37.32,774.0,775.0,775.0,775.0
37.42,774.0,774.0,774.0,775.0
37.52,774.0,774.0,774.0,775.0
37.62,774.0,774.0,774.0,774.0
37.72,774.0,774.0,773.0,773.0
37.82,773.0,774.0,773.0,774.0
37.92,773.0,773.0,773.0,773.0
38.02,773.0,772.0,772.0,772.0
38.12,772.0,772.0,772.0,772.0
38.22,771.0,771.0,771.0,771.0
38.32,770.0,770.0,771.0,771.0
38.42,770.0,770.0,770.0,771.0
38.52,770.0,770.0,770.0,770.0
38.62,770.0,770.0,771.0,769.0
38.72,770.0,770.0,770.0,770.0
38.82,770.0,770.0,769.0,770.0
38.92,770.0,770.0,769.0,770.0
39.02,770.0,769.0,769.0,769.0
39.12,770.0,770.0,769.0,769.0
39.22,769.0,769.0,769.0,769.0
39.32,769.0,770.0,769.0,769.0
39.42,769.0,769.0,769.0,769.0
39.52,981.0,748.0,765.0,958.0
39.62,748.0,842.0,826.0,752.0
39.72,721.0,810.0,802.0,725.0
39.82,753.0,785.0,784.0,757.0
39.92,777.0,773.0,773.0,782.0
40.02,785.0,772.0,768.0,787.0
40.12,789.0,775.0,763.0,780.0
40.22,790.0,779.0,760.0,768.0
40.32,792.0,780.0,756.0,762.0
40.42,789.0,779.0,755.0,762.0
40.52,784.0,775.0,758.0,767.0
40.62,776.0,768.0,763.0,773.0
40.72,770.0,761.0,768.0,779.0
40.82,764.0,757.0,772.0,784.0
